"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|BE","Generation - Solar  [MW] Intraday / BZN|BE","Generation - Solar  [MW] Current / BZN|BE","Generation - Wind Offshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Offshore  [MW] Intraday / BZN|BE","Generation - Wind Offshore  [MW] Current / BZN|BE","Generation - Wind Onshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Onshore  [MW] Intraday / BZN|BE","Generation - Wind Onshore  [MW] Current / BZN|BE"
"05.01.2018 06:00 - 05.01.2018 07:00","0","0","0","544","518","518","1010","952","952"
"05.01.2018 07:00 - 05.01.2018 08:00","0","0","0","520","564","564","967","847","847"
"05.01.2018 08:00 - 05.01.2018 09:00","1","1","1","522","590","590","935","750","750"
"05.01.2018 09:00 - 05.01.2018 10:00","47","50","50","556","575","575","934","688","688"
"05.01.2018 10:00 - 05.01.2018 11:00","155","164","164","548","591","591","947","659","659"
"05.01.2018 11:00 - 05.01.2018 12:00","246","251","251","536","608","494","953","648","351"
"05.01.2018 12:00 - 05.01.2018 13:00","301","290","290","527","658","576","927","646","353"
"05.01.2018 13:00 - 05.01.2018 14:00","284","269","269","495","681","647","851","646","394"
"05.01.2018 14:00 - 05.01.2018 15:00","218","193","193","475","663","663","732","650","474"
"05.01.2018 15:00 - 05.01.2018 16:00","116","91","91","489","668","662","601","642","567"
"05.01.2018 16:00 - 05.01.2018 17:00","19","15","15","460","645","510","495","617","563"
"05.01.2018 17:00 - 05.01.2018 18:00","0","0","0","416","620","625","441","584","581"
"05.01.2018 18:00 - 05.01.2018 19:00","0","0","0","393","592","687","434","547","587"
"05.01.2018 19:00 - 05.01.2018 20:00","0","0","0","389","578","713","439","515","594"
"05.01.2018 20:00 - 05.01.2018 21:00","0","0","0","378","526","705","432","494","594"
"05.01.2018 21:00 - 05.01.2018 22:00","0","0","0","348","453","698","406","478","604"
"05.01.2018 22:00 - 05.01.2018 23:00","0","0","0","310","355","586","365","452","570"
"05.01.2018 23:00 - 06.01.2018 00:00","0","0","0","270","267","455","326","423","524"
"06.01.2018 00:00 - 06.01.2018 01:00","0","0","0","399","340","340","490","467","467"
"06.01.2018 01:00 - 06.01.2018 02:00","0","0","0","295","272","272","435","410","410"
"06.01.2018 02:00 - 06.01.2018 03:00","0","0","0","210","206","206","376","363","363"
"06.01.2018 03:00 - 06.01.2018 04:00","0","0","0","152","137","137","325","325","325"
"06.01.2018 04:00 - 06.01.2018 05:00","0","0","0","104","95","95","276","284","284"
"06.01.2018 05:00 - 06.01.2018 06:00","0","0","0","69","67","67","230","238","238"
"06.01.2018 06:00 - 06.01.2018 07:00","0","0","0","46","5","5","185","215","215"
"06.01.2018 07:00 - 06.01.2018 08:00","0","0","0","31","11","11","144","164","164"
"06.01.2018 08:00 - 06.01.2018 09:00","1","1","1","24","17","17","110","120","120"
"06.01.2018 09:00 - 06.01.2018 10:00","40","32","32","27","22","22","81","83","83"
"06.01.2018 10:00 - 06.01.2018 11:00","130","100","100","36","35","35","55","56","56"
"06.01.2018 11:00 - 06.01.2018 12:00","200","155","155","48","45","43","35","40","30"
"06.01.2018 12:00 - 06.01.2018 13:00","218","179","179","65","50","56","28","32","25"
"06.01.2018 13:00 - 06.01.2018 14:00","201","168","168","94","66","80","33","30","25"
"06.01.2018 14:00 - 06.01.2018 15:00","152","131","131","147","94","117","50","36","31"
"06.01.2018 15:00 - 06.01.2018 16:00","77","67","67","245","169","195","81","54","47"
"06.01.2018 16:00 - 06.01.2018 17:00","13","12","12","378","271","384","128","86","72"
"06.01.2018 17:00 - 06.01.2018 18:00","0","0","0","508","410","590","184","128","124"
"06.01.2018 18:00 - 06.01.2018 19:00","0","0","0","622","592","739","245","178","188"
"06.01.2018 19:00 - 06.01.2018 20:00","0","0","0","698","711","790","312","229","262"
"06.01.2018 20:00 - 06.01.2018 21:00","0","0","0","734","751","811","382","279","343"
"06.01.2018 21:00 - 06.01.2018 22:00","0","0","0","761","763","799","448","335","324"
"06.01.2018 22:00 - 06.01.2018 23:00","0","0","0","780","759","782","509","397","404"
"06.01.2018 23:00 - 07.01.2018 00:00","0","0","0","782","753","774","562","463","489"
"07.01.2018 00:00 - 07.01.2018 01:00","0","0","0","777","778","778","560","577","577"
"07.01.2018 01:00 - 07.01.2018 02:00","0","0","0","780","782","782","631","665","665"
"07.01.2018 02:00 - 07.01.2018 03:00","0","0","0","788","792","792","708","750","750"
"07.01.2018 03:00 - 07.01.2018 04:00","0","0","0","802","810","810","784","823","823"
"07.01.2018 04:00 - 07.01.2018 05:00","0","0","0","814","830","830","848","881","881"
"07.01.2018 05:00 - 07.01.2018 06:00","0","0","0","825","843","843","898","929","929"
"07.01.2018 06:00 - 07.01.2018 07:00","0","0","0","835","833","833","938","795","795"
"07.01.2018 07:00 - 07.01.2018 08:00","0","0","0","841","839","839","968","861","861"
"07.01.2018 08:00 - 07.01.2018 09:00","1","1","1","843","842","842","994","916","916"
"07.01.2018 09:00 - 07.01.2018 10:00","48","67","67","844","844","844","1015","961","961"
"07.01.2018 10:00 - 07.01.2018 11:00","150","205","205","845","845","845","1028","989","989"
"07.01.2018 11:00 - 07.01.2018 12:00","241","252","252","847","844","828","1031","993","908"
"07.01.2018 12:00 - 07.01.2018 13:00","302","384","384","848","842","832","1027","986","913"
"07.01.2018 13:00 - 07.01.2018 14:00","296","440","440","848","843","836","1021","984","924"
"07.01.2018 14:00 - 07.01.2018 15:00","236","358","358","848","845","840","1012","992","941"
"07.01.2018 15:00 - 07.01.2018 16:00","126","217","217","848","848","844","1010","1007","966"
"07.01.2018 16:00 - 07.01.2018 17:00","22","38","38","848","849","834","1012","1023","898"
"07.01.2018 17:00 - 07.01.2018 18:00","0","0","0","850","849","839","1017","1033","938"
"07.01.2018 18:00 - 07.01.2018 19:00","0","0","0","851","850","843","1024","1035","968"
"07.01.2018 19:00 - 07.01.2018 20:00","0","0","0","851","850","845","1024","1023","979"
"07.01.2018 20:00 - 07.01.2018 21:00","0","0","0","851","850","847","1017","1000","974"
"07.01.2018 21:00 - 07.01.2018 22:00","0","0","0","851","850","835","1003","975","824"
"07.01.2018 22:00 - 07.01.2018 23:00","0","0","0","851","850","838","984","949","824"
"07.01.2018 23:00 - 08.01.2018 00:00","0","0","0","851","849","840","965","925","825"
"08.01.2018 00:00 - 08.01.2018 01:00","0","0","0","846","842","842","890","824","824"
"08.01.2018 01:00 - 08.01.2018 02:00","0","0","0","843","843","843","865","818","818"
"08.01.2018 02:00 - 08.01.2018 03:00","0","0","0","841","842","842","841","802","802"
"08.01.2018 03:00 - 08.01.2018 04:00","0","0","0","838","839","839","814","781","781"
"08.01.2018 04:00 - 08.01.2018 05:00","0","0","0","835","833","833","787","757","757"
"08.01.2018 05:00 - 08.01.2018 06:00","0","0","0","831","824","824","763","728","728"
"08.01.2018 06:00 - 08.01.2018 07:00","0","0","0","824","797","797","741","483","483"
"08.01.2018 07:00 - 08.01.2018 08:00","0","0","0","814","790","790","720","512","512"
"08.01.2018 08:00 - 08.01.2018 09:00","2","2","2","801","782","782","699","536","536"
"08.01.2018 09:00 - 08.01.2018 10:00","102","97","97","791","776","776","676","547","547"
"08.01.2018 10:00 - 08.01.2018 11:00","280","266","266","785","767","767","643","540","540"
"08.01.2018 11:00 - 08.01.2018 12:00","431","166","166","776","747","719","597","511","415"
"08.01.2018 12:00 - 08.01.2018 13:00","522","221","221","761","728","697","552","473","406"
"08.01.2018 13:00 - 08.01.2018 14:00","524","233","233","755","710","662","522","438","395"
"08.01.2018 14:00 - 08.01.2018 15:00","423","170","170","754","690","616","511","415","389"
"08.01.2018 15:00 - 08.01.2018 16:00","235","104","104","743","660","570","519","412","400"
"08.01.2018 16:00 - 08.01.2018 17:00","48","24","24","727","623","505","544","436","343"
"08.01.2018 17:00 - 08.01.2018 18:00","0","0","0","713","606","518","580","485","401"
"08.01.2018 18:00 - 08.01.2018 19:00","0","0","0","688","602","548","609","533","456"
"08.01.2018 19:00 - 08.01.2018 20:00","0","0","0","649","598","562","616","545","483"
"08.01.2018 20:00 - 08.01.2018 21:00","0","0","0","622","580","544","598","515","480"
"08.01.2018 21:00 - 08.01.2018 22:00","0","0","0","600","544","461","561","471","399"
"08.01.2018 22:00 - 08.01.2018 23:00","0","0","0","573","484","436","516","434","382"
"08.01.2018 23:00 - 09.01.2018 00:00","0","0","0","539","413","411","479","416","379"
"09.01.2018 00:00 - 09.01.2018 01:00","0","0","0","399","386","386","412","383","383"
"09.01.2018 01:00 - 09.01.2018 02:00","0","0","0","383","363","363","407","387","387"
"09.01.2018 02:00 - 09.01.2018 03:00","0","0","0","363","345","345","399","379","379"
"09.01.2018 03:00 - 09.01.2018 04:00","0","0","0","341","322","322","377","355","355"
"09.01.2018 04:00 - 09.01.2018 05:00","0","0","0","306","288","288","342","318","318"
"09.01.2018 05:00 - 09.01.2018 06:00","0","0","0","262","246","246","297","278","278"
"09.01.2018 06:00 - 09.01.2018 07:00","0","0","0","208","88","88","257","159","159"
"09.01.2018 07:00 - 09.01.2018 08:00","0","0","0","149","74","74","233","162","162"
"09.01.2018 08:00 - 09.01.2018 09:00","2","2","2","104","76","76","212","155","155"
"09.01.2018 09:00 - 09.01.2018 10:00","106","134","134","81","78","78","187","137","137"
"09.01.2018 10:00 - 09.01.2018 11:00","290","354","354","61","67","67","160","118","118"
"09.01.2018 11:00 - 09.01.2018 12:00","434","288","288","41","49","55","156","124","188"
"09.01.2018 12:00 - 09.01.2018 13:00","493","388","388","34","49","78","177","156","198"
"09.01.2018 13:00 - 09.01.2018 14:00","473","395","395","36","58","103","197","182","214"
"09.01.2018 14:00 - 09.01.2018 15:00","387","197","197","52","77","103","219","201","241"
"09.01.2018 15:00 - 09.01.2018 16:00","232","116","116","76","94","115","251","234","279"
"09.01.2018 16:00 - 09.01.2018 17:00","45","25","25","91","111","151","300","290","276"
"09.01.2018 17:00 - 09.01.2018 18:00","0","0","0","111","133","185","370","359","327"
"09.01.2018 18:00 - 09.01.2018 19:00","0","0","0","138","154","203","448","428","364"
"09.01.2018 19:00 - 09.01.2018 20:00","0","0","0","182","187","221","512","487","391"
"09.01.2018 20:00 - 09.01.2018 21:00","0","0","0","266","241","259","546","521","416"
"09.01.2018 21:00 - 09.01.2018 22:00","0","0","0","338","301","350","547","530","348"
"09.01.2018 22:00 - 09.01.2018 23:00","0","0","0","353","349","341","532","525","349"
"09.01.2018 23:00 - 10.01.2018 00:00","0","0","0","362","375","349","519","521","355"
"10.01.2018 00:00 - 10.01.2018 01:00","0","0","0","415","362","362","482","364","364"
"10.01.2018 01:00 - 10.01.2018 02:00","0","0","0","413","386","386","496","381","381"
"10.01.2018 02:00 - 10.01.2018 03:00","0","0","0","414","393","393","521","409","409"
"10.01.2018 03:00 - 10.01.2018 04:00","0","0","0","434","399","399","546","438","438"
"10.01.2018 04:00 - 10.01.2018 05:00","0","0","0","472","406","406","566","471","471"
"10.01.2018 05:00 - 10.01.2018 06:00","0","0","0","517","413","413","583","498","498"
"10.01.2018 06:00 - 10.01.2018 07:00","0","0","0","557","416","416","598","376","376"
"10.01.2018 07:00 - 10.01.2018 08:00","0","0","0","581","466","466","604","421","421"
"10.01.2018 08:00 - 10.01.2018 09:00","1","1","1","584","541","541","596","450","450"
"10.01.2018 09:00 - 10.01.2018 10:00","43","32","32","601","566","566","580","457","457"
"10.01.2018 10:00 - 10.01.2018 11:00","124","97","97","611","563","563","566","450","450"
"10.01.2018 11:00 - 10.01.2018 12:00","206","169","169","569","548","567","553","432","423"
"10.01.2018 12:00 - 10.01.2018 13:00","218","204","204","498","531","526","526","391","386"
"10.01.2018 13:00 - 10.01.2018 14:00","199","205","205","408","501","474","472","327","333"
"10.01.2018 14:00 - 10.01.2018 15:00","159","177","177","327","442","424","403","257","274"
"10.01.2018 15:00 - 10.01.2018 16:00","91","96","96","279","382","350","344","207","228"
"10.01.2018 16:00 - 10.01.2018 17:00","20","18","18","239","330","299","307","182","171"
"10.01.2018 17:00 - 10.01.2018 18:00","0","0","0","195","289","255","290","176","159"
"10.01.2018 18:00 - 10.01.2018 19:00","0","0","0","164","252","222","282","177","154"
"10.01.2018 19:00 - 10.01.2018 20:00","0","0","0","145","214","194","267","173","151"
"10.01.2018 20:00 - 10.01.2018 21:00","0","0","0","129","183","162","241","162","142"
"10.01.2018 21:00 - 10.01.2018 22:00","0","0","0","112","148","221","212","148","104"
"10.01.2018 22:00 - 10.01.2018 23:00","0","0","0","92","120","169","185","132","95"
"10.01.2018 23:00 - 11.01.2018 00:00","0","0","0","74","98","128","159","114","84"
"11.01.2018 00:00 - 11.01.2018 01:00","0","0","0","68","92","92","100","76","76"
"11.01.2018 01:00 - 11.01.2018 02:00","0","0","0","53","69","69","86","70","70"
"11.01.2018 02:00 - 11.01.2018 03:00","0","0","0","44","50","50","73","64","64"
"11.01.2018 03:00 - 11.01.2018 04:00","0","0","0","35","38","38","59","54","54"
"11.01.2018 04:00 - 11.01.2018 05:00","0","0","0","28","32","32","46","44","44"
"11.01.2018 05:00 - 11.01.2018 06:00","0","0","0","25","28","28","36","36","36"
"11.01.2018 06:00 - 11.01.2018 07:00","0","0","0","21","3","3","30","18","18"
"11.01.2018 07:00 - 11.01.2018 08:00","0","0","0","17","4","4","26","18","18"
"11.01.2018 08:00 - 11.01.2018 09:00","1","2","2","15","5","5","24","16","16"
"11.01.2018 09:00 - 11.01.2018 10:00","40","76","76","15","5","5","22","14","14"
"11.01.2018 10:00 - 11.01.2018 11:00","134","222","222","15","4","4","20","13","13"
"11.01.2018 11:00 - 11.01.2018 12:00","247","227","227","16","3","3","18","13","12"
"11.01.2018 12:00 - 11.01.2018 13:00","305","249","249","16","3","3","17","13","13"
"11.01.2018 13:00 - 11.01.2018 14:00","302","217","217","14","3","2","18","14","15"
"11.01.2018 14:00 - 11.01.2018 15:00","242","173","173","12","3","3","21","19","19"
"11.01.2018 15:00 - 11.01.2018 16:00","133","103","103","12","3","5","27","27","26"
"11.01.2018 16:00 - 11.01.2018 17:00","26","27","27","15","4","9","35","38","40"
"11.01.2018 17:00 - 11.01.2018 18:00","0","0","0","19","6","10","44","48","53"
"11.01.2018 18:00 - 11.01.2018 19:00","0","0","0","20","9","12","52","55","64"
"11.01.2018 19:00 - 11.01.2018 20:00","0","0","0","20","10","13","54","53","63"
"11.01.2018 20:00 - 11.01.2018 21:00","0","0","0","19","10","12","52","47","55"
"11.01.2018 21:00 - 11.01.2018 22:00","0","0","0","17","9","9","47","43","48"
"11.01.2018 22:00 - 11.01.2018 23:00","0","0","0","14","9","11","42","42","45"
"11.01.2018 23:00 - 12.01.2018 00:00","0","0","0","12","10","12","38","44","42"
"12.01.2018 00:00 - 12.01.2018 01:00","0","0","0","11","11","11","35","40","40"
"12.01.2018 01:00 - 12.01.2018 02:00","0","0","0","14","12","12","36","41","41"
"12.01.2018 02:00 - 12.01.2018 03:00","0","0","0","17","15","15","36","42","42"
"12.01.2018 03:00 - 12.01.2018 04:00","0","0","0","20","19","19","35","43","43"
"12.01.2018 04:00 - 12.01.2018 05:00","0","0","0","20","22","22","33","40","40"
"12.01.2018 05:00 - 12.01.2018 06:00","0","0","0","18","20","20","29","36","36"
"12.01.2018 06:00 - 12.01.2018 07:00","0","0","0","19","16","16","27","25","25"
"12.01.2018 07:00 - 12.01.2018 08:00","0","0","0","20","16","16","24","23","23"
"12.01.2018 08:00 - 12.01.2018 09:00","1","1","1","16","14","14","22","22","22"
"12.01.2018 09:00 - 12.01.2018 10:00","32","32","32","13","13","13","20","20","20"
"12.01.2018 10:00 - 12.01.2018 11:00","94","98","98","13","12","12","18","19","19"
"12.01.2018 11:00 - 12.01.2018 12:00","147","101","101","11","11","5","17","17","16"
"12.01.2018 12:00 - 12.01.2018 13:00","176","124","124","8","13","6","16","16","15"
"12.01.2018 13:00 - 12.01.2018 14:00","177","129","129","6","13","7","15","15","15"
"12.01.2018 14:00 - 12.01.2018 15:00","146","138","138","6","12","6","15","15","15"
"12.01.2018 15:00 - 12.01.2018 16:00","82","73","73","6","13","7","16","16","16"
"12.01.2018 16:00 - 12.01.2018 17:00","18","13","13","8","14","13","19","18","17"
"12.01.2018 17:00 - 12.01.2018 18:00","0","0","0","11","15","12","23","21","22"
"12.01.2018 18:00 - 12.01.2018 19:00","0","0","0","15","22","13","29","24","27"
"12.01.2018 19:00 - 12.01.2018 20:00","0","0","0","20","31","17","35","28","31"
"12.01.2018 20:00 - 12.01.2018 21:00","0","0","0","28","37","24","41","32","35"
"12.01.2018 21:00 - 12.01.2018 22:00","0","0","0","39","43","33","47","36","37"
"12.01.2018 22:00 - 12.01.2018 23:00","0","0","0","49","55","46","51","42","45"
"12.01.2018 23:00 - 13.01.2018 00:00","0","0","0","60","69","60","54","49","56"
"13.01.2018 00:00 - 13.01.2018 01:00","0","0","0","80","74","74","67","69","69"
"13.01.2018 01:00 - 13.01.2018 02:00","0","0","0","80","83","83","77","78","78"
"13.01.2018 02:00 - 13.01.2018 03:00","0","0","0","84","92","92","86","84","84"
"13.01.2018 03:00 - 13.01.2018 04:00","0","0","0","99","102","102","93","91","91"
"13.01.2018 04:00 - 13.01.2018 05:00","0","0","0","116","105","105","101","100","100"
"13.01.2018 05:00 - 13.01.2018 06:00","0","0","0","126","108","108","108","105","105"
"13.01.2018 06:00 - 13.01.2018 07:00","0","0","0","135","83","83","113","71","71"
"13.01.2018 07:00 - 13.01.2018 08:00","0","0","0","143","101","101","119","76","76"
"13.01.2018 08:00 - 13.01.2018 09:00","2","3","3","145","115","115","126","84","84"
"13.01.2018 09:00 - 13.01.2018 10:00","85","113","113","157","117","117","131","99","99"
"13.01.2018 10:00 - 13.01.2018 11:00","273","321","321","183","115","115","137","117","117"
"13.01.2018 11:00 - 13.01.2018 12:00","472","194","194","184","107","112","138","129","111"
"13.01.2018 12:00 - 13.01.2018 13:00","590","262","262","165","104","103","138","134","116"
"13.01.2018 13:00 - 13.01.2018 14:00","576","272","272","150","115","112","137","133","121"
