"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|BE","Generation - Solar  [MW] Intraday / BZN|BE","Generation - Solar  [MW] Current / BZN|BE","Generation - Wind Offshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Offshore  [MW] Intraday / BZN|BE","Generation - Wind Offshore  [MW] Current / BZN|BE","Generation - Wind Onshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Onshore  [MW] Intraday / BZN|BE","Generation - Wind Onshore  [MW] Current / BZN|BE"
"01.01.2018 00:00 - 01.01.2018 01:00","0","0","0","834","832","832","1405","1348","1348"
"01.01.2018 01:00 - 01.01.2018 02:00","0","0","0","833","832","832","1420","1384","1384"
"01.01.2018 02:00 - 01.01.2018 03:00","0","0","0","833","833","833","1414","1386","1386"
"01.01.2018 03:00 - 01.01.2018 04:00","0","0","0","833","833","833","1387","1354","1354"
"01.01.2018 04:00 - 01.01.2018 05:00","0","0","0","831","829","829","1343","1298","1298"
"01.01.2018 05:00 - 01.01.2018 06:00","0","0","0","828","826","826","1295","1241","1241"
"01.01.2018 06:00 - 01.01.2018 07:00","0","0","0","823","806","806","1263","940","940"
"01.01.2018 07:00 - 01.01.2018 08:00","0","0","0","819","809","809","1233","977","977"
"01.01.2018 08:00 - 01.01.2018 09:00","1","1","1","806","808","808","1213","1039","1039"
"01.01.2018 09:00 - 01.01.2018 10:00","35","60","60","797","798","798","1202","1066","1066"
"01.01.2018 10:00 - 01.01.2018 11:00","115","194","194","791","783","783","1171","1050","1050"
"01.01.2018 11:00 - 01.01.2018 12:00","183","336","336","766","763","732","1120","998","764"
"01.01.2018 12:00 - 01.01.2018 13:00","205","315","315","675","689","691","1052","913","720"
"01.01.2018 13:00 - 01.01.2018 14:00","165","223","223","514","549","584","967","816","652"
"01.01.2018 14:00 - 01.01.2018 15:00","101","90","90","364","365","395","875","725","595"
"01.01.2018 15:00 - 01.01.2018 16:00","48","43","43","266","192","171","776","624","535"
"01.01.2018 16:00 - 01.01.2018 17:00","7","5","5","225","112","126","662","524","356"
"01.01.2018 17:00 - 01.01.2018 18:00","0","0","0","345","94","117","600","491","337"
"01.01.2018 18:00 - 01.01.2018 19:00","0","0","0","579","236","234","635","527","357"
"01.01.2018 19:00 - 01.01.2018 20:00","0","0","0","727","518","492","685","554","420"
"01.01.2018 20:00 - 01.01.2018 21:00","0","0","0","784","700","701","765","604","509"
"01.01.2018 21:00 - 01.01.2018 22:00","0","0","0","807","767","813","890","721","752"
"01.01.2018 22:00 - 01.01.2018 23:00","0","0","0","816","780","834","969","810","855"
"01.01.2018 23:00 - 02.01.2018 00:00","0","0","0","817","785","831","980","833","915"
"02.01.2018 00:00 - 02.01.2018 01:00","0","0","0","819","830","830","926","957","957"
"02.01.2018 01:00 - 02.01.2018 02:00","0","0","0","826","836","836","963","992","992"
"02.01.2018 02:00 - 02.01.2018 03:00","0","0","0","829","839","839","994","1023","1023"
"02.01.2018 03:00 - 02.01.2018 04:00","0","0","0","826","835","835","1002","1033","1033"
"02.01.2018 04:00 - 02.01.2018 05:00","0","0","0","816","819","819","965","999","999"
"02.01.2018 05:00 - 02.01.2018 06:00","0","0","0","793","788","788","874","912","912"
"02.01.2018 06:00 - 02.01.2018 07:00","0","0","0","742","770","770","754","640","640"
"02.01.2018 07:00 - 02.01.2018 08:00","0","0","0","656","727","727","629","562","562"
"02.01.2018 08:00 - 02.01.2018 09:00","1","1","1","547","646","646","516","484","484"
"02.01.2018 09:00 - 02.01.2018 10:00","61","87","87","461","553","553","442","431","431"
"02.01.2018 10:00 - 02.01.2018 11:00","203","264","264","422","453","453","423","410","410"
"02.01.2018 11:00 - 02.01.2018 12:00","295","361","361","392","355","272","443","411","291"
"02.01.2018 12:00 - 02.01.2018 13:00","306","341","341","373","326","293","466","429","339"
"02.01.2018 13:00 - 02.01.2018 14:00","259","250","250","412","399","449","477","459","423"
"02.01.2018 14:00 - 02.01.2018 15:00","186","135","135","532","586","668","503","513","538"
"02.01.2018 15:00 - 02.01.2018 16:00","94","67","67","685","757","782","579","636","696"
"02.01.2018 16:00 - 02.01.2018 17:00","13","10","10","769","813","778","731","838","739"
"02.01.2018 17:00 - 02.01.2018 18:00","0","0","0","793","818","793","927","1039","956"
"02.01.2018 18:00 - 02.01.2018 19:00","0","0","0","809","812","795","1086","1161","1092"
"02.01.2018 19:00 - 02.01.2018 20:00","0","0","0","813","808","798","1162","1185","1128"
"02.01.2018 20:00 - 02.01.2018 21:00","0","0","0","807","804","791","1171","1146","1092"
"02.01.2018 21:00 - 02.01.2018 22:00","0","0","0","804","810","782","1165","1122","970"
"02.01.2018 22:00 - 02.01.2018 23:00","0","0","0","806","819","809","1173","1162","1030"
"02.01.2018 23:00 - 03.01.2018 00:00","0","0","0","816","822","822","1209","1242","1149"
"03.01.2018 00:00 - 03.01.2018 01:00","0","0","0","800","802","802","1322","1275","1275"
"03.01.2018 01:00 - 03.01.2018 02:00","0","0","0","763","749","749","1418","1380","1380"
"03.01.2018 02:00 - 03.01.2018 03:00","0","0","0","734","730","730","1477","1447","1447"
"03.01.2018 03:00 - 03.01.2018 04:00","0","0","0","710","733","733","1493","1467","1467"
"03.01.2018 04:00 - 03.01.2018 05:00","0","0","0","672","694","694","1478","1455","1455"
"03.01.2018 05:00 - 03.01.2018 06:00","0","0","0","647","664","664","1453","1433","1433"
"03.01.2018 06:00 - 03.01.2018 07:00","0","0","0","631","745","745","1427","1069","1069"
"03.01.2018 07:00 - 03.01.2018 08:00","0","0","0","609","694","694","1408","1134","1134"
"03.01.2018 08:00 - 03.01.2018 09:00","1","1","1","608","637","637","1405","1197","1197"
"03.01.2018 09:00 - 03.01.2018 10:00","66","74","74","604","568","568","1415","1250","1250"
"03.01.2018 10:00 - 03.01.2018 11:00","211","226","226","583","496","496","1421","1292","1292"
"03.01.2018 11:00 - 03.01.2018 12:00","306","327","327","560","444","309","1422","1320","1153"
"03.01.2018 12:00 - 03.01.2018 13:00","324","327","327","551","415","319","1422","1333","1210"
"03.01.2018 13:00 - 03.01.2018 14:00","307","312","312","562","420","356","1420","1340","1254"
"03.01.2018 14:00 - 03.01.2018 15:00","236","152","152","598","442","409","1414","1343","1288"
"03.01.2018 15:00 - 03.01.2018 16:00","123","92","92","655","481","460","1402","1342","1311"
"03.01.2018 16:00 - 03.01.2018 17:00","19","12","12","700","550","690","1385","1336","1214"
"03.01.2018 17:00 - 03.01.2018 18:00","0","0","0","725","628","687","1363","1326","1237"
"03.01.2018 18:00 - 03.01.2018 19:00","0","0","0","748","707","747","1344","1312","1261"
"03.01.2018 19:00 - 03.01.2018 20:00","0","0","0","771","782","821","1326","1301","1282"
"03.01.2018 20:00 - 03.01.2018 21:00","0","0","0","800","831","857","1309","1295","1293"
"03.01.2018 21:00 - 03.01.2018 22:00","0","0","0","828","843","861","1292","1285","1294"
"03.01.2018 22:00 - 03.01.2018 23:00","0","0","0","837","841","858","1268","1258","1281"
"03.01.2018 23:00 - 04.01.2018 00:00","0","0","0","835","839","857","1233","1221","1257"
"04.01.2018 00:00 - 04.01.2018 01:00","0","0","0","816","855","855","1179","1216","1216"
"04.01.2018 01:00 - 04.01.2018 02:00","0","0","0","813","853","853","1114","1148","1148"
"04.01.2018 02:00 - 04.01.2018 03:00","0","0","0","805","850","850","1017","1048","1048"
"04.01.2018 03:00 - 04.01.2018 04:00","0","0","0","782","834","834","893","920","920"
"04.01.2018 04:00 - 04.01.2018 05:00","0","0","0","735","780","780","758","776","776"
"04.01.2018 05:00 - 04.01.2018 06:00","0","0","0","611","682","682","620","636","636"
"04.01.2018 06:00 - 04.01.2018 07:00","0","0","0","428","554","554","488","396","396"
"04.01.2018 07:00 - 04.01.2018 08:00","0","0","0","267","398","398","382","331","331"
"04.01.2018 08:00 - 04.01.2018 09:00","0","0","0","174","262","262","320","292","292"
"04.01.2018 09:00 - 04.01.2018 10:00","9","10","10","135","173","173","296","284","284"
"04.01.2018 10:00 - 04.01.2018 11:00","26","28","28","139","190","190","309","338","338"
"04.01.2018 11:00 - 04.01.2018 12:00","43","59","59","193","397","390","438","560","559"
"04.01.2018 12:00 - 04.01.2018 13:00","65","80","80","253","675","682","665","887","889"
"04.01.2018 13:00 - 04.01.2018 14:00","87","99","99","394","809","813","846","1120","1118"
"04.01.2018 14:00 - 04.01.2018 15:00","83","115","115","614","829","834","1012","1258","1267"
"04.01.2018 15:00 - 04.01.2018 16:00","43","56","56","756","835","836","1199","1354","1380"
"04.01.2018 16:00 - 04.01.2018 17:00","8","11","11","794","837","827","1303","1405","1288"
"04.01.2018 17:00 - 04.01.2018 18:00","0","0","0","799","836","828","1336","1426","1329"
"04.01.2018 18:00 - 04.01.2018 19:00","0","0","0","804","838","821","1354","1431","1357"
"04.01.2018 19:00 - 04.01.2018 20:00","0","0","0","812","840","812","1364","1416","1372"
"04.01.2018 20:00 - 04.01.2018 21:00","0","0","0","820","840","821","1364","1383","1365"
"04.01.2018 21:00 - 04.01.2018 22:00","0","0","0","823","838","825","1348","1332","1175"
"04.01.2018 22:00 - 04.01.2018 23:00","0","0","0","823","835","828","1314","1258","1132"
"04.01.2018 23:00 - 05.01.2018 00:00","0","0","0","819","829","824","1255","1163","1060"
"05.01.2018 00:00 - 05.01.2018 01:00","0","0","0","820","798","798","1106","991","991"
"05.01.2018 01:00 - 05.01.2018 02:00","0","0","0","775","697","697","1040","963","963"
"05.01.2018 02:00 - 05.01.2018 03:00","0","0","0","602","525","525","1005","996","996"
"05.01.2018 03:00 - 05.01.2018 04:00","0","0","0","416","410","410","1012","1063","1063"
"05.01.2018 04:00 - 05.01.2018 05:00","0","0","0","366","412","412","1035","1093","1093"
"05.01.2018 05:00 - 05.01.2018 06:00","0","0","0","444","450","450","1035","1063","1063"
