"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|BE","Generation - Solar  [MW] Intraday / BZN|BE","Generation - Solar  [MW] Current / BZN|BE","Generation - Wind Offshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Offshore  [MW] Intraday / BZN|BE","Generation - Wind Offshore  [MW] Current / BZN|BE","Generation - Wind Onshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Onshore  [MW] Intraday / BZN|BE","Generation - Wind Onshore  [MW] Current / BZN|BE"
"01.01.2015 00:00 - 01.01.2015 01:00","0","n/e","n/e","420","n/e","n/e","246","n/e","n/e"
"01.01.2015 01:00 - 01.01.2015 02:00","0","n/e","n/e","432","n/e","n/e","269","n/e","n/e"
"01.01.2015 02:00 - 01.01.2015 03:00","0","n/e","n/e","442","n/e","n/e","287","n/e","n/e"
"01.01.2015 03:00 - 01.01.2015 04:00","0","n/e","n/e","449","n/e","n/e","306","n/e","n/e"
"01.01.2015 04:00 - 01.01.2015 05:00","0","n/e","n/e","456","n/e","n/e","325","n/e","n/e"
"01.01.2015 05:00 - 01.01.2015 06:00","0","n/e","n/e","462","n/e","n/e","344","n/e","n/e"
"01.01.2015 06:00 - 01.01.2015 07:00","0","n/e","n/e","466","n/e","n/e","366","n/e","n/e"
"01.01.2015 07:00 - 01.01.2015 08:00","0","n/e","n/e","472","n/e","n/e","391","n/e","n/e"
"01.01.2015 08:00 - 01.01.2015 09:00","0","n/e","n/e","476","n/e","n/e","420","n/e","n/e"
"01.01.2015 09:00 - 01.01.2015 10:00","93","n/e","n/e","485","n/e","n/e","451","n/e","n/e"
"01.01.2015 10:00 - 01.01.2015 11:00","292","n/e","n/e","502","n/e","n/e","464","n/e","n/e"
"01.01.2015 11:00 - 01.01.2015 12:00","450","n/e","n/e","533","n/e","n/e","447","n/e","n/e"
"01.01.2015 12:00 - 01.01.2015 13:00","563","n/e","n/e","557","n/e","n/e","430","n/e","n/e"
"01.01.2015 13:00 - 01.01.2015 14:00","601","n/e","n/e","568","n/e","n/e","428","n/e","n/e"
"01.01.2015 14:00 - 01.01.2015 15:00","533","n/e","n/e","574","n/e","n/e","460","n/e","n/e"
"01.01.2015 15:00 - 01.01.2015 16:00","283","n/e","n/e","594","n/e","n/e","501","n/e","n/e"
"01.01.2015 16:00 - 01.01.2015 17:00","58","n/e","n/e","608","n/e","n/e","555","n/e","n/e"
"01.01.2015 17:00 - 01.01.2015 18:00","0","n/e","n/e","621","n/e","n/e","623","n/e","n/e"
"01.01.2015 18:00 - 01.01.2015 19:00","0","n/e","n/e","634","n/e","n/e","691","n/e","n/e"
"01.01.2015 19:00 - 01.01.2015 20:00","0","n/e","n/e","647","n/e","n/e","751","n/e","n/e"
"01.01.2015 20:00 - 01.01.2015 21:00","0","n/e","n/e","657","n/e","n/e","788","n/e","n/e"
"01.01.2015 21:00 - 01.01.2015 22:00","0","n/e","n/e","665","n/e","n/e","823","n/e","n/e"
"01.01.2015 22:00 - 01.01.2015 23:00","0","n/e","n/e","673","n/e","n/e","854","n/e","n/e"
"01.01.2015 23:00 - 02.01.2015 00:00","0","n/e","n/e","678","n/e","n/e","879","n/e","n/e"
