"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|BE","Generation - Solar  [MW] Intraday / BZN|BE","Generation - Solar  [MW] Current / BZN|BE","Generation - Wind Offshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Offshore  [MW] Intraday / BZN|BE","Generation - Wind Offshore  [MW] Current / BZN|BE","Generation - Wind Onshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Onshore  [MW] Intraday / BZN|BE","Generation - Wind Onshore  [MW] Current / BZN|BE"
"03.01.2016 04:00 - 03.01.2016 05:00","0","n/e","n/e","607","n/e","n/e","737","n/e","n/e"
"03.01.2016 05:00 - 03.01.2016 06:00","0","n/e","n/e","606","n/e","n/e","702","n/e","n/e"
"03.01.2016 06:00 - 03.01.2016 07:00","0","n/e","n/e","590","n/e","n/e","659","n/e","n/e"
"03.01.2016 07:00 - 03.01.2016 08:00","0","n/e","n/e","545","n/e","n/e","611","n/e","n/e"
"03.01.2016 08:00 - 03.01.2016 09:00","0","n/e","n/e","473","n/e","n/e","570","n/e","n/e"
"03.01.2016 09:00 - 03.01.2016 10:00","61","n/e","n/e","420","n/e","n/e","553","n/e","n/e"
"03.01.2016 10:00 - 03.01.2016 11:00","175","n/e","n/e","439","n/e","n/e","555","n/e","n/e"
"03.01.2016 11:00 - 03.01.2016 12:00","281","n/e","n/e","513","n/e","n/e","560","n/e","n/e"
"03.01.2016 12:00 - 03.01.2016 13:00","280","n/e","n/e","585","n/e","n/e","572","n/e","n/e"
"03.01.2016 13:00 - 03.01.2016 14:00","212","n/e","n/e","632","n/e","n/e","602","n/e","n/e"
"03.01.2016 14:00 - 03.01.2016 15:00","117","n/e","n/e","655","n/e","n/e","655","n/e","n/e"
"03.01.2016 15:00 - 03.01.2016 16:00","53","n/e","n/e","666","n/e","n/e","727","n/e","n/e"
"03.01.2016 16:00 - 03.01.2016 17:00","9","n/e","n/e","674","n/e","n/e","813","n/e","n/e"
"03.01.2016 17:00 - 03.01.2016 18:00","0","n/e","n/e","680","n/e","n/e","895","n/e","n/e"
"03.01.2016 18:00 - 03.01.2016 19:00","0","n/e","n/e","679","n/e","n/e","953","n/e","n/e"
"03.01.2016 19:00 - 03.01.2016 20:00","0","n/e","n/e","670","n/e","n/e","976","n/e","n/e"
"03.01.2016 20:00 - 03.01.2016 21:00","0","n/e","n/e","647","n/e","n/e","960","n/e","n/e"
"03.01.2016 21:00 - 03.01.2016 22:00","0","n/e","n/e","600","n/e","n/e","907","n/e","n/e"
"03.01.2016 22:00 - 03.01.2016 23:00","0","n/e","n/e","550","n/e","n/e","820","n/e","n/e"
"03.01.2016 23:00 - 04.01.2016 00:00","0","n/e","n/e","511","n/e","n/e","720","n/e","n/e"
"04.01.2016 00:00 - 04.01.2016 01:00","0","n/e","n/e","329","n/e","n/e","670","n/e","n/e"
"04.01.2016 01:00 - 04.01.2016 02:00","0","n/e","n/e","352","n/e","n/e","611","n/e","n/e"
"04.01.2016 02:00 - 04.01.2016 03:00","0","n/e","n/e","362","n/e","n/e","577","n/e","n/e"
"04.01.2016 03:00 - 04.01.2016 04:00","0","n/e","n/e","360","n/e","n/e","574","n/e","n/e"
"04.01.2016 04:00 - 04.01.2016 05:00","0","n/e","n/e","372","n/e","n/e","587","n/e","n/e"
"04.01.2016 05:00 - 04.01.2016 06:00","0","n/e","n/e","400","n/e","n/e","591","n/e","n/e"
"04.01.2016 06:00 - 04.01.2016 07:00","0","n/e","n/e","428","n/e","n/e","587","n/e","n/e"
"04.01.2016 07:00 - 04.01.2016 08:00","0","n/e","n/e","448","n/e","n/e","590","n/e","n/e"
"04.01.2016 08:00 - 04.01.2016 09:00","0","n/e","n/e","466","n/e","n/e","604","n/e","n/e"
"04.01.2016 09:00 - 04.01.2016 10:00","33","n/e","n/e","490","n/e","n/e","625","n/e","n/e"
"04.01.2016 10:00 - 04.01.2016 11:00","91","n/e","n/e","528","n/e","n/e","651","n/e","n/e"
"04.01.2016 11:00 - 04.01.2016 12:00","142","n/e","n/e","571","n/e","n/e","672","n/e","n/e"
"04.01.2016 12:00 - 04.01.2016 13:00","174","n/e","n/e","602","n/e","n/e","679","n/e","n/e"
"04.01.2016 13:00 - 04.01.2016 14:00","182","n/e","n/e","615","n/e","n/e","667","n/e","n/e"
"04.01.2016 14:00 - 04.01.2016 15:00","156","n/e","n/e","616","n/e","n/e","641","n/e","n/e"
"04.01.2016 15:00 - 04.01.2016 16:00","79","n/e","n/e","616","n/e","n/e","617","n/e","n/e"
"04.01.2016 16:00 - 04.01.2016 17:00","14","n/e","n/e","619","n/e","n/e","613","n/e","n/e"
"04.01.2016 17:00 - 04.01.2016 18:00","0","n/e","n/e","623","n/e","n/e","633","n/e","n/e"
"04.01.2016 18:00 - 04.01.2016 19:00","0","n/e","n/e","628","n/e","n/e","665","n/e","n/e"
"04.01.2016 19:00 - 04.01.2016 20:00","0","n/e","n/e","633","n/e","n/e","697","n/e","n/e"
"04.01.2016 20:00 - 04.01.2016 21:00","0","n/e","n/e","637","n/e","n/e","720","n/e","n/e"
"04.01.2016 21:00 - 04.01.2016 22:00","0","n/e","n/e","636","n/e","n/e","731","n/e","n/e"
"04.01.2016 22:00 - 04.01.2016 23:00","0","n/e","n/e","629","n/e","n/e","729","n/e","n/e"
"04.01.2016 23:00 - 05.01.2016 00:00","0","n/e","n/e","615","n/e","n/e","717","n/e","n/e"
"05.01.2016 00:00 - 05.01.2016 01:00","0","n/e","n/e","539","n/e","n/e","564","n/e","n/e"
"05.01.2016 01:00 - 05.01.2016 02:00","0","n/e","n/e","508","n/e","n/e","531","n/e","n/e"
"05.01.2016 02:00 - 05.01.2016 03:00","0","n/e","n/e","489","n/e","n/e","505","n/e","n/e"
"05.01.2016 03:00 - 05.01.2016 04:00","0","n/e","n/e","478","n/e","n/e","488","n/e","n/e"
"05.01.2016 04:00 - 05.01.2016 05:00","0","n/e","n/e","469","n/e","n/e","479","n/e","n/e"
"05.01.2016 05:00 - 05.01.2016 06:00","0","n/e","n/e","461","n/e","n/e","476","n/e","n/e"
"05.01.2016 06:00 - 05.01.2016 07:00","0","n/e","n/e","459","n/e","n/e","473","n/e","n/e"
"05.01.2016 07:00 - 05.01.2016 08:00","0","n/e","n/e","470","n/e","n/e","466","n/e","n/e"
"05.01.2016 08:00 - 05.01.2016 09:00","0","n/e","n/e","487","n/e","n/e","456","n/e","n/e"
"05.01.2016 09:00 - 05.01.2016 10:00","31","n/e","n/e","499","n/e","n/e","452","n/e","n/e"
"05.01.2016 10:00 - 05.01.2016 11:00","87","n/e","n/e","497","n/e","n/e","457","n/e","n/e"
"05.01.2016 11:00 - 05.01.2016 12:00","140","n/e","n/e","483","n/e","n/e","467","n/e","n/e"
"05.01.2016 12:00 - 05.01.2016 13:00","152","n/e","n/e","455","n/e","n/e","468","n/e","n/e"
"05.01.2016 13:00 - 05.01.2016 14:00","143","n/e","n/e","419","n/e","n/e","440","n/e","n/e"
"05.01.2016 14:00 - 05.01.2016 15:00","109","n/e","n/e","383","n/e","n/e","391","n/e","n/e"
"05.01.2016 15:00 - 05.01.2016 16:00","51","n/e","n/e","349","n/e","n/e","348","n/e","n/e"
"05.01.2016 16:00 - 05.01.2016 17:00","9","n/e","n/e","324","n/e","n/e","322","n/e","n/e"
"05.01.2016 17:00 - 05.01.2016 18:00","0","n/e","n/e","312","n/e","n/e","313","n/e","n/e"
"05.01.2016 18:00 - 05.01.2016 19:00","0","n/e","n/e","304","n/e","n/e","316","n/e","n/e"
